epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,530.637,3.83335,4.60623,3.16451,0.26087,0.03096,0.01255,0.00438,3.42229,8.11724,3.45441,0.000207538,0.000207538,0.000207538
2,1037.05,3.41254,4.27368,2.8137,0.34045,0.04375,0.00486,0.00155,3.24141,6.35614,3.22363,0.000413813,0.000413813,0.000413813
3,1536.11,3.10355,3.83491,2.61896,0.59486,0.03842,0.01138,0.00387,3.33949,5.42627,3.26689,0.000618025,0.000618025,0.000618025
4,2097.82,2.84485,3.37992,2.40737,0.36965,0.11655,0.04338,0.01423,2.90956,4.02061,2.63484,0.000615719,0.000615719,0.000615719
5,2623.93,2.53496,2.99537,2.18794,0.41251,0.17846,0.09388,0.0341,2.52294,3.32666,2.25336,0.000612625,0.000612625,0.000612625
6,3147.83,2.32577,2.68172,2.0451,0.41819,0.23257,0.24466,0.09978,2.17915,2.59503,2.03023,0.000609531,0.000609531,0.000609531
7,3678.61,2.15459,2.47,1.92616,0.32846,0.32641,0.29881,0.1408,2.00802,2.41399,1.92946,0.000606437,0.000606437,0.000606437
8,4188.52,1.94613,2.22818,1.80634,0.40545,0.32307,0.34515,0.17218,1.89641,2.20104,1.85116,0.000603344,0.000603344,0.000603344
9,4705.27,1.84867,2.07153,1.72084,0.42251,0.4756,0.44934,0.24113,1.71109,1.90994,1.71695,0.00060025,0.00060025,0.00060025
10,5215.71,1.70583,1.89551,1.64201,0.57363,0.48594,0.49466,0.28182,1.62273,1.80767,1.64201,0.000597156,0.000597156,0.000597156
11,5728.41,1.63804,1.77254,1.60545,0.61703,0.50477,0.50954,0.28878,1.60147,1.68821,1.65488,0.000594062,0.000594062,0.000594062
12,6231.73,1.59734,1.71327,1.57876,0.64274,0.54232,0.56257,0.3183,1.62344,1.6623,1.6649,0.000590969,0.000590969,0.000590969
13,6752.39,1.5136,1.58412,1.51523,0.68119,0.58651,0.61402,0.35876,1.52207,1.51254,1.5837,0.000587875,0.000587875,0.000587875
14,7271.72,1.47177,1.54053,1.48034,0.76244,0.60144,0.63153,0.37647,1.47381,1.42413,1.535,0.000584781,0.000584781,0.000584781
15,7791.4,1.38026,1.4338,1.42286,0.772,0.56615,0.63276,0.38467,1.41883,1.43829,1.48194,0.000581687,0.000581687,0.000581687
16,8291.23,1.36735,1.41391,1.40059,0.79657,0.59079,0.65033,0.40429,1.41342,1.36904,1.49611,0.000578594,0.000578594,0.000578594
17,8814.17,1.32672,1.33969,1.37684,0.80949,0.63448,0.68952,0.43789,1.31506,1.28046,1.40017,0.0005755,0.0005755,0.0005755
18,9352.21,1.29403,1.28922,1.34038,0.83067,0.65376,0.70973,0.45805,1.28056,1.24335,1.35672,0.000572406,0.000572406,0.000572406
19,9869.3,1.27098,1.27314,1.32712,0.8213,0.66117,0.72668,0.47518,1.25586,1.20589,1.35432,0.000569313,0.000569313,0.000569313
20,10392.5,1.26394,1.267,1.33051,0.86584,0.67083,0.75507,0.49162,1.25476,1.16547,1.35295,0.000566219,0.000566219,0.000566219
21,10914.4,1.22425,1.21352,1.29954,0.86453,0.66333,0.75257,0.48114,1.26116,1.14988,1.33215,0.000563125,0.000563125,0.000563125
22,11431.6,1.20834,1.19323,1.28872,0.75668,0.65289,0.70359,0.43837,1.3388,1.29632,1.40217,0.000560031,0.000560031,0.000560031
23,11956.1,1.16509,1.12858,1.25523,0.87689,0.65973,0.77054,0.51392,1.16872,1.12202,1.26632,0.000556938,0.000556938,0.000556938
24,12523.6,1.16872,1.12122,1.24755,0.8844,0.70306,0.79298,0.54459,1.14045,1.04314,1.24572,0.000553844,0.000553844,0.000553844
25,13076.5,1.14987,1.07346,1.23699,0.84147,0.74464,0.80776,0.54647,1.1554,1.04258,1.25696,0.00055075,0.00055075,0.00055075
26,13583.1,1.15521,1.10031,1.24132,0.91091,0.70098,0.80541,0.5427,1.16412,1.0324,1.26339,0.000547656,0.000547656,0.000547656
27,14095.4,1.11782,1.04995,1.21428,0.8975,0.71397,0.81234,0.55852,1.12198,0.9794,1.23009,0.000544563,0.000544563,0.000544563
28,14604,1.1134,1.05667,1.20927,0.90322,0.73773,0.82227,0.56538,1.10832,0.98518,1.20501,0.000541469,0.000541469,0.000541469
29,15116.7,1.10304,1.02389,1.20265,0.89368,0.74264,0.82426,0.56453,1.11421,0.98217,1.22442,0.000538375,0.000538375,0.000538375
30,15625.9,1.09791,1.0079,1.19298,0.88704,0.7303,0.83929,0.57844,1.10911,1.00043,1.22805,0.000535281,0.000535281,0.000535281
31,16150,1.09035,0.98985,1.19625,0.90895,0.73473,0.83526,0.56922,1.10527,0.96293,1.20596,0.000532187,0.000532187,0.000532187
32,16684.9,1.06324,0.96492,1.18288,0.90423,0.75999,0.86426,0.58961,1.08359,0.92619,1.2015,0.000529094,0.000529094,0.000529094
33,17201.8,1.05515,0.95439,1.16582,0.88641,0.76421,0.87,0.59817,1.08532,0.94488,1.20403,0.000526,0.000526,0.000526
34,17729.8,1.07521,0.9654,1.18614,0.89687,0.73374,0.84485,0.57468,1.12972,0.96684,1.21937,0.000522906,0.000522906,0.000522906
35,18258.4,1.05492,0.93457,1.16107,0.84365,0.74539,0.82258,0.55196,1.14888,1.01836,1.24476,0.000519812,0.000519812,0.000519812
36,18780.5,1.04634,1.02301,1.15445,0.92704,0.74911,0.88416,0.61757,1.03986,0.90171,1.15826,0.000516719,0.000516719,0.000516719
37,19301.3,1.05614,0.95907,1.17092,0.89731,0.78947,0.87814,0.6153,1.03443,0.86809,1.16342,0.000513625,0.000513625,0.000513625
38,19814.2,1.02421,0.91368,1.14271,0.94542,0.76071,0.90536,0.62985,1.03799,0.8708,1.16308,0.000510531,0.000510531,0.000510531
39,20323.1,1.01871,0.89661,1.13767,0.81256,0.85469,0.90593,0.62259,1.03979,0.86906,1.16012,0.000507438,0.000507438,0.000507438
40,20819.3,1.01132,0.89038,1.12937,0.89957,0.80437,0.91951,0.63026,1.0243,0.83984,1.15363,0.000504344,0.000504344,0.000504344
41,21338.3,1.0064,0.87952,1.13621,0.92249,0.8161,0.92639,0.64919,0.99685,0.8201,1.11904,0.00050125,0.00050125,0.00050125
42,21847.8,1.02032,0.89139,1.14866,0.91671,0.82094,0.90821,0.61134,1.04132,0.85159,1.14981,0.000498156,0.000498156,0.000498156
43,22347.8,0.9999,0.85791,1.13295,0.92343,0.82222,0.92703,0.64418,1.02088,0.83067,1.14392,0.000495063,0.000495063,0.000495063
44,22858.7,0.98211,0.84053,1.11077,0.88368,0.87983,0.93955,0.66267,0.97288,0.79582,1.10911,0.000491969,0.000491969,0.000491969
45,23376.1,0.98677,0.81856,1.10925,0.9358,0.80316,0.91286,0.64418,1.0147,0.81596,1.13024,0.000488875,0.000488875,0.000488875
46,23899.7,0.99093,0.83403,1.11671,0.93972,0.82861,0.93736,0.65947,0.99021,0.78691,1.11291,0.000485781,0.000485781,0.000485781
47,24412.9,0.97621,0.81312,1.10087,0.95208,0.82065,0.92152,0.64897,0.98971,0.77502,1.11683,0.000482687,0.000482687,0.000482687
48,24934.1,0.96629,0.81954,1.10196,0.88176,0.88091,0.94358,0.66814,0.98653,0.7831,1.11529,0.000479594,0.000479594,0.000479594
49,25443.7,0.97358,0.83504,1.10665,0.93166,0.87292,0.93222,0.65141,0.9671,0.7738,1.09063,0.0004765,0.0004765,0.0004765
50,25944.5,0.94989,0.811,1.09533,0.89902,0.90442,0.94465,0.66208,0.98009,0.77797,1.12091,0.000473406,0.000473406,0.000473406
51,26427.1,0.94309,0.79399,1.08974,0.87578,0.91064,0.95574,0.66849,0.97044,0.76894,1.11198,0.000470312,0.000470312,0.000470312
52,26907.7,0.95298,0.8027,1.0864,0.85314,0.92561,0.95431,0.67532,0.96432,0.74962,1.09694,0.000467219,0.000467219,0.000467219
53,27392.3,0.96516,0.8123,1.10376,0.84203,0.88603,0.92831,0.66336,0.97173,0.76273,1.11515,0.000464125,0.000464125,0.000464125
54,27853.3,0.94149,0.78067,1.08327,0.94798,0.88258,0.95832,0.68682,0.96132,0.73143,1.09537,0.000461031,0.000461031,0.000461031
